Species;Order;Specimen_number;Sex;Tracheal_length;Bronchial_length;Tracheal_diameter;Bronchial_diameter;TL_CSA;ST_CSA;LL;LL_CSA;SS_CSA;SP_CSA;Bodymass
Caracara_plancus;Falconiformes;TMM_16909;NA;96399.22;NA;8854.651667;6641.7025;1502810.38;5403553.14;2662.0435;3332837.58;NA;NA;1086.557143
Caracara_plancus;Falconiformes;YPM_137589;NA;NA;NA;7633.398333;7257.9375;4006584;7630200;3128.5495;7587432;NA;NA;1086.557143
Falco_columbarius;Falconiformes;TMM_14782;NA;NA;6098.57;3707.22;NA;208614.145;516439.0805;247.162;547064.395;NA;NA;194.1227545
Falco_peregrinus;Falconiformes;TMM_15640;F;60343.1;16843.38;6576.991667;4849.17;1310937.5;2116562.5;432.2605;757812.5;NA;NA;851.2150538
Falco_sparverius;Falconiformes;RMNH_5092433;NA;NA;5769.695;2579.365;1656.139;98021.34;NA;119.8135;97879.62;NA;NA;114.028
Bombycilla_cedrorum;Passeriformes;TMM_17007;NA;NA;NA;2209.893333;NA;128062.225;102652.295;375.4975;156268.705;373579.115;406655.43;31.26154409
Cardinalis_cardinalis;Passeriformes;RMNH_5092441;NA;NA;2308.085;1818.513333;1598.5075;83160.88;65966.49;462.347;155780.24;774122.375;413274.435;42.51777778
Cardinalis_cardinalis;Passeriformes;TMM_17044;NA;NA;3010.795;1964.656667;1456.11;109099.35;144923.71;563.3;237202.805;587222.145;500240.035;42.51777778
Contopus_virens;Passeriformes;UMNH_XXXX;NA;NA;3414.13;1449.248333;987.81;39628.8;129392.64;367.166;38707.2;175472.64;NA;13.9
Cyanocitta_cristata;Passeriformes;RMNH_5092452;NA;NA;6231;2587.418333;2236.8125;178547.45;151355.82;485.083;494714.88;1529774.895;1397092.845;88
Mimus_polyglottos;Passeriformes;XXXX;NA;32965.86;9012.965;2137.861667;2075.2425;88445;77389.375;557.086;194579;1224963.25;1149785;48.5
Passer_domesticus;Passeriformes;XXXX;NA;23645.95;7167.23;2164.021667;1666.98;86462.235;68761.305;340.226;177009.3;1184600.7;758416.77;27.29521739
Piranga_olivacea;Passeriformes;YPM_XXXX;NA;34457.81;6011.785;2111.838333;1533.5175;201830.4;362373.12;638.989;276480;1165824;885104.64;28.2
Progne_subis;Passeriformes;RMNH_5092456;NA;NA;4710.451;2183.6;1822.105;170810.56;123553.28;421.655;264677.76;974831.68;443719.04;53.8144385
Quiscalus_mexicanus;Passeriformes;TMM_17053;NA;NA;NA;3462.986667;3100.9775;672773.04;1080819.52;694.0785;626825.84;6190324.88;4139842.72;184.3111111
Quiscalus_mexicanus;Passeriformes;RMNH_5092451;NA;NA;NA;3897.146667;3324.41;281264.8;410201.04;675.064;634098.96;4718008.16;4920184.64;184.3111111
Setophaga_coronata;Passeriformes;RMNH_5092434;NA;NA;NA;1453.098333;1026.53;85607.395;NA;132.9775;114267.88;129089.04;73731.765;11.88415584
Sitta_canadensis;Passeriformes;YPM_484;NA;18189.04;3720.49;1162.153333;1027.1;59719.68;17510.4;434.55;116674.56;400343.04;117596.16;9.8
Amazona_viridigenalis;Psittaciformes;TMM_12366;F;76623.28;2931.595;5031.221667;3720.08;585233.09;936295.66;109.507;76994.185;3163427.33;6803503.73;316
Eclectus_roratus;Psittaciformes;TMM_15731;NA;61427.01;4485.9605;4298.553333;3948.2375;647869.32;794864.88;399.233;213687.99;2659077.09;5020987.23;531.2
Melopsittacus_undulatus;Psittaciformes;TMM_15019;M;16962.32;3282.33;1824.005;1526.77;150000;215400;129.732;28400;1913400;2049800;29.00534125
Melopsittacus_undulatus;Psittaciformes;TMM_15022;NA;NA;4313.73;1814.381667;1516.045;217139.7;214710.63;253.725;301728.45;1287596.98;1878622.76;29.00534125
